PCA1,PCA2
-2.3329710568925184,-1.8099992489871473
-2.3321916246793593,-1.8101335568587766
-2.3317686848494934,-1.8101866249120537
-2.3310159258256533,-1.8103148543226657
-2.3322348280513436,-1.8099937686587515
-2.3321489899467247,-1.8099700157637855
-2.3320607240083255,-1.8099468161394774
-2.332074325959253,-1.809900402193593
-2.3325778012760976,-1.8097423526977543
-2.332130615605659,-1.809800946051924
-2.3322994170310367,-1.8097191642336716
-2.3319565118051573,-1.8097539934773836
-2.33115039136665,-1.8098943832365406
-2.330858419964175,-1.8099176053470987
-2.3318202553111225,-1.8096551017665967
-2.332452256670582,-1.809467762914674
-2.3332879785301475,-1.809233998901375
-2.3329693339383537,-1.8092632994729512
-2.334035449487344,-1.8089770318372582
-2.3342818579254447,-1.808877564424832
-2.3339365251083026,-1.8089129468839356
-2.3337730797484433,-1.808906879638409
-2.333915207741985,-1.8088311763364402
-2.334493862722807,-1.8086559944065537
-2.335227731729076,-1.8084454412883206
-2.3350376131798978,-1.8084454525038125
-2.334437626039245,-1.8085388672574456
-2.3344002941667674,-1.8085040604447162
-2.3346200291730335,-1.8084106715485748
-2.3358922780198785,-1.8080774289073585
-2.337574395458198,-1.8076507827279988
-2.3381530501965027,-1.8074756008533783
-2.3388602312199396,-1.8072711295674075
-2.339312787506893,-1.807124683833481
-2.3397629016515866,-1.806978794630922
-2.3392138631278523,-1.8070605988801582
-2.3384077429318606,-1.8072009885840497
-2.338782692206091,-1.8070722284442953
-2.3397202669189516,-1.8068152535359299
-2.3391712283952177,-1.8068970577851666
-2.3379043353713738,-1.8071424514178693
-2.337457149943452,-1.8072010447167723
-2.3392168593584652,-1.8067567163697502
-2.3370259787791743,-1.8072126743361763
-2.3361689395532914,-1.8073646678019792
-2.335799346102063,-1.807405578933219
